x,y,z
-25041.45508,224.065918,33603.31641
-25041.5293,224.0691376,33602.83594
-25041.60156,224.0721741,33602.3125
-25041.66211,224.0747681,33601.82031
-25041.7168,224.0773773,33601.3125
-25041.76172,224.0798645,33600.83203
-25041.80078,224.0817566,33600.32031
-25041.83594,224.0820313,33599.67578
-25041.85156,224.0821686,33599.19141
-25041.85938,224.0839844,33598.70313
-25041.85742,224.0870056,33598.17188
-25041.84766,224.0894165,33597.67969
-25041.82617,224.0915375,33597.19531
-25041.79297,224.0939026,33596.69922
-25041.74805,224.0960388,33596.17969
-25041.69336,224.0973663,33595.69141
-25041.62891,224.0990601,33595.22266
-25041.54102,224.1012115,33594.69922
-25041.45313,224.1011353,33594.23438
-25041.34961,224.0991821,33593.75781
-25041.21484,224.0969696,33593.20313
-25041.0918,224.096344,33592.75391
-25040.95313,224.0962067,33592.29297
-25040.79492,224.0961151,33591.81641
-25040.62109,224.0955811,33591.34375
-25040.44336,224.0950165,33590.89844
-25040.24609,224.0949707,33590.44922
-25040.03125,224.0953674,33589.99219
-25039.79688,224.0953064,33589.53906
-25039.54688,224.0945282,33589.08984
-25039.22461,224.0926208,33588.55078
-25038.97656,224.0908966,33588.17188
-25038.67188,224.089325,33587.73438
-25038.30078,224.0887756,33587.24219
-25037.92969,224.0889893,33586.79297
-25037.60938,224.088028,33586.42969
-25037.19727,224.0852051,33586
-25036.83594,224.0826263,33585.64844
-25036.49414,224.079422,33585.33594
-25036.11328,224.0749817,33585.01172
-25035.68945,224.0724792,33584.67578
-25035.30273,224.0718536,33584.39844
-25034.88867,224.0713348,33584.12109
-25034.45898,224.0702362,33583.85547
-25034.03125,224.0686493,33583.61719
-25033.56836,224.0665131,33583.37891
-25033.02344,224.0636749,33583.12891
-25032.48242,224.0610504,33582.91406
-25031.94336,224.0581665,33582.72266
-25031.48828,224.0554657,33582.58594
-25030.98438,224.0523529,33582.45313
-25030.49609,224.0496216,33582.35156
-25030.01367,224.0469513,33582.26953
-25029.51758,224.0435181,33582.20313
-25028.9043,224.0392151,33582.15234
-25028.43945,224.0371857,33582.13281
-25027.93945,224.0354919,33582.12891
-25027.29883,224.0325317,33582.15234
-25026.77734,224.0301971,33582.19531
-25026.25195,224.0287323,33582.25781
-25025.76563,224.0275116,33582.32813
-25025.17578,224.0255432,33582.44141
-25024.57031,224.0236206,33582.57422
-25023.94336,224.022522,33582.73828
-25023.44531,224.0219269,33582.88672
-25023.00781,224.0202942,33583.02734
-25022.47656,224.0170441,33583.21484
-25021.96875,224.0141754,33583.41016
-25021.47852,224.0121002,33583.60938
-25020.86523,224.0091553,33583.875
-25020.41016,224.0072632,33584.08203
-25019.92773,224.0056915,33584.30859
-25019.44141,224.0033875,33584.54297
-25018.97266,224.0005493,33584.77344
-25018.50391,223.9982147,33585.00781
-25018.02344,223.9958801,33585.25391
-25017.41797,223.9921265,33585.56641
-25016.97852,223.9897766,33585.79297
-25016.51563,223.9878998,33586.03125
-25016.05273,223.9867096,33586.26953
-25015.57227,223.9853516,33586.51172
-25015.07813,223.983017,33586.76172
-25014.63281,223.980545,33586.98047
-25014.17773,223.9783478,33587.19922
-25013.63281,223.976181,33587.45313
-25013.05664,223.9735718,33587.71094
-25012.46875,223.9703827,33587.96094
-25012.0332,223.9681244,33588.14063
-25011.57617,223.9655762,33588.31641
-25011.05859,223.9620819,33588.51172
-25010.58594,223.9583282,33588.67578
-25010.03125,223.9539337,33588.85547
-25009.57422,223.9507294,33588.99219
-25009.08398,223.9475861,33589.125
-25008.55078,223.9446716,33589.25781
-25007.96875,223.9431915,33589.38672
-25007.50781,223.9424438,33589.47266
-25007.00391,223.9408417,33589.55859
-25006.52148,223.9386292,33589.625
-25005.88477,223.9355011,33589.69141
-25005.41211,223.933136,33589.73047
-25004.79883,223.9293518,33589.75781
-25004.20703,223.9256134,33589.76563
-25003.59375,223.924881,33589.75391
-25003.12305,223.9257355,33589.73047
-25002.63086,223.9255829,33589.6875
-25001.95508,223.9231567,33589.60938
-25001.45898,223.9212799,33589.53125
-25000.91016,223.9202271,33589.42578
-25000.48438,223.9205017,33589.33203
